label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,H1H2c_cv,0.0755338219936262
VF19B_can_utt1,VF19B_eng_utt1,H1H2c_cv,0.16167170448646484
VF19B_can_utt1,VF19B_eng_utt2,H1H2c_cv,0.1247605216086609
VF19B_can_utt1,VF19D_can_utt1,H1H2c_cv,0.04937011851546451
VF19B_can_utt1,VF19D_can_utt2,H1H2c_cv,0.15438623233040683
VF19B_can_utt1,VF19D_eng_utt1,H1H2c_cv,0.0514273321211325
VF19B_can_utt1,VF19D_eng_utt2,H1H2c_cv,0.0650163092755189
VF19B_can_utt1,VF21A_can_utt1,H1H2c_cv,0.019752432325344002
VF19B_can_utt1,VF21A_can_utt2,H1H2c_cv,0.029417276417197005
VF19B_can_utt1,VF21A_eng_utt1,H1H2c_cv,0.1122859878981763
VF19B_can_utt1,VF21A_eng_utt2,H1H2c_cv,0.1398639713603007
VF19B_can_utt1,VF21B_can_utt1,H1H2c_cv,0.651715528268883
VF19B_can_utt1,VF21B_can_utt2,H1H2c_cv,0.2911265670001107
VF19B_can_utt1,VF21B_eng_utt1,H1H2c_cv,0.4482893335718676
VF19B_can_utt1,VF21B_eng_utt2,H1H2c_cv,0.183797687785352
VF19B_can_utt1,VF21C_can_utt1,H1H2c_cv,0.03767763254509611
VF19B_can_utt1,VF21C_can_utt2,H1H2c_cv,0.0302051388324361
VF19B_can_utt1,VF21C_eng_utt1,H1H2c_cv,0.018319039961328207
VF19B_can_utt1,VF21C_eng_utt2,H1H2c_cv,0.06677525430482249
VF19B_can_utt1,VF21D_can_utt1,H1H2c_cv,0.011333493135454509
VF19B_can_utt1,VF21D_can_utt2,H1H2c_cv,0.046318489280029004
VF19B_can_utt1,VF21D_eng_utt1,H1H2c_cv,0.003443251346160095
VF19B_can_utt1,VF21D_eng_utt2,H1H2c_cv,0.0351648529379847
VF19B_can_utt1,VF23B_can_utt1,H1H2c_cv,0.0029816766207984013
VF19B_can_utt1,VF23B_can_utt2,H1H2c_cv,0.02866373232724341
VF19B_can_utt1,VF23B_eng_utt1,H1H2c_cv,0.03715291419981871
VF19B_can_utt1,VF23B_eng_utt2,H1H2c_cv,0.006406995345090399
VF19B_can_utt1,VF23C_can_utt1,H1H2c_cv,0.1173258702608783
VF19B_can_utt1,VF23C_can_utt2,H1H2c_cv,0.059152941197898504
VF19B_can_utt1,VF23C_eng_utt1,H1H2c_cv,0.017659586393757212
VF19B_can_utt1,VF23C_eng_utt2,H1H2c_cv,0.0312107650588153
VF19B_can_utt1,VF26A_can_utt1,H1H2c_cv,0.0993185918526238
VF19B_can_utt1,VF26A_can_utt2,H1H2c_cv,0.05762601333855451
VF19B_can_utt1,VF26A_eng_utt1,H1H2c_cv,0.14706449175322212
VF19B_can_utt1,VF26A_eng_utt2,H1H2c_cv,0.0652371940386927
VF19B_can_utt1,VF32A_can_utt1,H1H2c_cv,0.07255363858107731
VF19B_can_utt1,VF32A_can_utt2,H1H2c_cv,0.032633490980616506
VF19B_can_utt1,VF32A_eng_utt1,H1H2c_cv,0.0389326248389258
VF19B_can_utt1,VF32A_eng_utt2,H1H2c_cv,0.047768596015101514
VF19B_can_utt2,VF19B_eng_utt1,H1H2c_cv,0.08613788249283863
VF19B_can_utt2,VF19B_eng_utt2,H1H2c_cv,0.0492266996150347
VF19B_can_utt2,VF19D_can_utt1,H1H2c_cv,0.026163703478161687
VF19B_can_utt2,VF19D_can_utt2,H1H2c_cv,0.07885241033678062
VF19B_can_utt2,VF19D_eng_utt1,H1H2c_cv,0.024106489872493697
VF19B_can_utt2,VF19D_eng_utt2,H1H2c_cv,0.010517512718107302
VF19B_can_utt2,VF21A_can_utt1,H1H2c_cv,0.055781389668282194
VF19B_can_utt2,VF21A_can_utt2,H1H2c_cv,0.04611654557642919
VF19B_can_utt2,VF21A_eng_utt1,H1H2c_cv,0.036752165904550105
VF19B_can_utt2,VF21A_eng_utt2,H1H2c_cv,0.0643301493666745
VF19B_can_utt2,VF21B_can_utt1,H1H2c_cv,0.5761817062752568
VF19B_can_utt2,VF21B_can_utt2,H1H2c_cv,0.21559274500648448
