label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,pF0_cv,0.00012181027818788936
VF19B_can_utt1,VF19B_eng_utt1,pF0_cv,0.20546400266943057
VF19B_can_utt1,VF19B_eng_utt2,pF0_cv,0.0663555117499662
VF19B_can_utt1,VF19D_can_utt1,pF0_cv,0.14469377554417648
VF19B_can_utt1,VF19D_can_utt2,pF0_cv,0.1812459849502092
VF19B_can_utt1,VF19D_eng_utt1,pF0_cv,0.039182546988820205
VF19B_can_utt1,VF19D_eng_utt2,pF0_cv,0.015416768866836406
VF19B_can_utt1,VF21A_can_utt1,pF0_cv,0.2943849494981412
VF19B_can_utt1,VF21A_can_utt2,pF0_cv,0.07167547585338849
VF19B_can_utt1,VF21A_eng_utt1,pF0_cv,0.0692015348503095
VF19B_can_utt1,VF21A_eng_utt2,pF0_cv,0.06005064436570409
VF19B_can_utt1,VF21B_can_utt1,pF0_cv,0.6076033103311133
VF19B_can_utt1,VF21B_can_utt2,pF0_cv,0.3286217640756399
VF19B_can_utt1,VF21B_eng_utt1,pF0_cv,0.5735806945845217
VF19B_can_utt1,VF21B_eng_utt2,pF0_cv,0.11857359596559111
VF19B_can_utt1,VF21C_can_utt1,pF0_cv,0.07617533217154679
VF19B_can_utt1,VF21C_can_utt2,pF0_cv,9.370872866570901e-05
VF19B_can_utt1,VF21C_eng_utt1,pF0_cv,0.010329643258500498
VF19B_can_utt1,VF21C_eng_utt2,pF0_cv,0.07928379904706132
VF19B_can_utt1,VF21D_can_utt1,pF0_cv,0.03715995941989622
VF19B_can_utt1,VF21D_can_utt2,pF0_cv,0.10925860103768989
VF19B_can_utt1,VF21D_eng_utt1,pF0_cv,0.0891894144097416
VF19B_can_utt1,VF21D_eng_utt2,pF0_cv,0.045958895652704806
VF19B_can_utt1,VF23B_can_utt1,pF0_cv,0.08311585971249533
VF19B_can_utt1,VF23B_can_utt2,pF0_cv,0.03147633145731149
VF19B_can_utt1,VF23B_eng_utt1,pF0_cv,0.07418916403731649
VF19B_can_utt1,VF23B_eng_utt2,pF0_cv,0.04987447022973979
VF19B_can_utt1,VF23C_can_utt1,pF0_cv,0.2007992363146013
VF19B_can_utt1,VF23C_can_utt2,pF0_cv,0.02122362675294709
VF19B_can_utt1,VF23C_eng_utt1,pF0_cv,0.024043337125412012
VF19B_can_utt1,VF23C_eng_utt2,pF0_cv,0.0041728891347243
VF19B_can_utt1,VF26A_can_utt1,pF0_cv,0.09827359103856612
VF19B_can_utt1,VF26A_can_utt2,pF0_cv,0.055744205230376015
VF19B_can_utt1,VF26A_eng_utt1,pF0_cv,0.1652278615746933
VF19B_can_utt1,VF26A_eng_utt2,pF0_cv,0.098851842714789
VF19B_can_utt1,VF32A_can_utt1,pF0_cv,0.37396350154535685
VF19B_can_utt1,VF32A_can_utt2,pF0_cv,0.19984147769952812
VF19B_can_utt1,VF32A_eng_utt1,pF0_cv,0.016767725523252508
VF19B_can_utt1,VF32A_eng_utt2,pF0_cv,0.030429071166996502
VF19B_can_utt2,VF19B_eng_utt1,pF0_cv,0.20534219239124268
VF19B_can_utt2,VF19B_eng_utt2,pF0_cv,0.06623370147177832
VF19B_can_utt2,VF19D_can_utt1,pF0_cv,0.1445719652659886
VF19B_can_utt2,VF19D_can_utt2,pF0_cv,0.1811241746720213
VF19B_can_utt2,VF19D_eng_utt1,pF0_cv,0.039060736710632316
VF19B_can_utt2,VF19D_eng_utt2,pF0_cv,0.015294958588648516
VF19B_can_utt2,VF21A_can_utt1,pF0_cv,0.29426313921995334
VF19B_can_utt2,VF21A_can_utt2,pF0_cv,0.0715536655752006
VF19B_can_utt2,VF21A_eng_utt1,pF0_cv,0.06932334512849739
VF19B_can_utt2,VF21A_eng_utt2,pF0_cv,0.0599288340875162
VF19B_can_utt2,VF21B_can_utt1,pF0_cv,0.6074815000529254
VF19B_can_utt2,VF21B_can_utt2,pF0_cv,0.32849995379745206
VF19B_can_utt2,VF21B_eng_utt1,pF0_cv,0.5734588843063337
VF19B_can_utt2,VF21B_eng_utt2,pF0_cv,0.11845178568740322
VF19B_can_utt2,VF21C_can_utt1,pF0_cv,0.0760535218933589
VF19B_can_utt2,VF21C_can_utt2,pF0_cv,0.00021551900685359837
VF19B_can_utt2,VF21C_eng_utt1,pF0_cv,0.010451453536688388
VF19B_can_utt2,VF21C_eng_utt2,pF0_cv,0.07916198876887343
VF19B_can_utt2,VF21D_can_utt1,pF0_cv,0.03703814914170833
VF19B_can_utt2,VF21D_can_utt2,pF0_cv,0.109136790759502
VF19B_can_utt2,VF21D_eng_utt1,pF0_cv,0.08931122468792949
VF19B_can_utt2,VF21D_eng_utt2,pF0_cv,0.046080705930892696
VF19B_can_utt2,VF23B_can_utt1,pF0_cv,0.08299404943430744
VF19B_can_utt2,VF23B_can_utt2,pF0_cv,0.03159814173549938
VF19B_can_utt2,VF23B_eng_utt1,pF0_cv,0.0740673537591286
