label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,H2KH5Kc_cv,0.019274899735513995
VF19B_can_utt1,VF19B_eng_utt1,H2KH5Kc_cv,0.07729105724160251
VF19B_can_utt1,VF19B_eng_utt2,H2KH5Kc_cv,0.01724359043644208
VF19B_can_utt1,VF19D_can_utt1,H2KH5Kc_cv,0.11500800396669597
VF19B_can_utt1,VF19D_can_utt2,H2KH5Kc_cv,0.1610918867712091
VF19B_can_utt1,VF19D_eng_utt1,H2KH5Kc_cv,0.1384295186094209
VF19B_can_utt1,VF19D_eng_utt2,H2KH5Kc_cv,0.059392203274380606
VF19B_can_utt1,VF21A_can_utt1,H2KH5Kc_cv,0.1715425163877298
VF19B_can_utt1,VF21A_can_utt2,H2KH5Kc_cv,0.0962741898116064
VF19B_can_utt1,VF21A_eng_utt1,H2KH5Kc_cv,0.14132548012015958
VF19B_can_utt1,VF21A_eng_utt2,H2KH5Kc_cv,0.005416644562855788
VF19B_can_utt1,VF21B_can_utt1,H2KH5Kc_cv,0.134966122261027
VF19B_can_utt1,VF21B_can_utt2,H2KH5Kc_cv,0.0011943686705798706
VF19B_can_utt1,VF21B_eng_utt1,H2KH5Kc_cv,0.008716041045211398
VF19B_can_utt1,VF21B_eng_utt2,H2KH5Kc_cv,0.058804701494384215
VF19B_can_utt1,VF21C_can_utt1,H2KH5Kc_cv,0.10580584705055601
VF19B_can_utt1,VF21C_can_utt2,H2KH5Kc_cv,0.039370027670429575
VF19B_can_utt1,VF21C_eng_utt1,H2KH5Kc_cv,0.00842326399058313
VF19B_can_utt1,VF21C_eng_utt2,H2KH5Kc_cv,0.040434075310528395
VF19B_can_utt1,VF21D_can_utt1,H2KH5Kc_cv,0.022770363384069015
VF19B_can_utt1,VF21D_can_utt2,H2KH5Kc_cv,0.10237946751787408
VF19B_can_utt1,VF21D_eng_utt1,H2KH5Kc_cv,0.06663787184696818
VF19B_can_utt1,VF21D_eng_utt2,H2KH5Kc_cv,0.008276883052601103
VF19B_can_utt1,VF23B_can_utt1,H2KH5Kc_cv,0.1937767218024607
VF19B_can_utt1,VF23B_can_utt2,H2KH5Kc_cv,0.1917333499410246
VF19B_can_utt1,VF23B_eng_utt1,H2KH5Kc_cv,0.057814800578233405
VF19B_can_utt1,VF23B_eng_utt2,H2KH5Kc_cv,0.05271771826092031
VF19B_can_utt1,VF23C_can_utt1,H2KH5Kc_cv,0.09937916797641039
VF19B_can_utt1,VF23C_can_utt2,H2KH5Kc_cv,0.04744201212300381
VF19B_can_utt1,VF23C_eng_utt1,H2KH5Kc_cv,0.07327320353357442
